Year,iso3,Country,Refugees,Total_Fatalities,Civilian_Fatalities,GDP_per_capita,Dist_km,crescita_pil,inflazione,periodo
2010,AUT,Austria,282,NA,NA,46611.1393420232,1052.484,1.80898243043663,1.81353438995061,NA
2011,AUT,Austria,308,NA,NA,51116.8953522042,1052.484,2.92746800169145,3.2865791487538,NA
2012,AUT,Austria,309,NA,NA,48250.4059142637,1052.484,0.628246239479637,2.48567562177014,NA
2013,AUT,Austria,311,NA,NA,50305.3545774973,1052.484,-0.250726423318454,2.00015616900597,NA
2014,AUT,Austria,300,NA,NA,51314.9722616322,1052.484,0.755798850316665,1.60581182954473,Pre-guerra
2015,AUT,Austria,287,NA,NA,43915.228020857,1052.484,1.30352331826198,0.896563335260319,Pre-guerra
2016,AUT,Austria,301,NA,NA,45061.4993920192,1052.484,2.11721964494312,0.891591752655362,Pre-guerra
2017,AUT,Austria,292,NA,NA,47163.7425775142,1052.484,2.27224992038207,2.08126911385586,Pre-guerra
2018,AUT,Austria,282,883,62,51194.0749841299,1052.484,2.48422114080024,1.99837981429548,Pre-guerra
2019,AUT,Austria,265,392,54,49885.9947355204,1052.484,1.75497619649288,1.53089564152643,Pre-guerra
2020,AUT,Austria,251,121,20,48716.4098900349,1052.484,-6.31825509209936,1.38191063351853,Pre-guerra
2021,AUT,Austria,253,149,10,53648.6437976214,1052.484,4.92309171717903,2.7666666666667,Pre-guerra
2022,AUT,Austria,89862,40081,5806,52336.7725223758,1052.484,5.33096379400371,8.54686993188457,Post-guerra
2023,AUT,Austria,83748,39596,2004,56579.504175468,1052.484,-0.786244288594673,7.81413417002831,Post-guerra
2024,AUT,Austria,84987,69872,2184,58268.8787651601,1052.484,-0.659089573171372,2.93791574279375,Post-guerra
2025,AUT,Austria,84785,76864,2587,NA,1052.484,NA,NA,NA
2010,BEL,Belgium,86,NA,NA,44197.393671162,1837.307,2.71031150254662,2.18929920422458,NA
2011,BEL,Belgium,84,NA,NA,47760.8298776546,1837.307,1.93115502411325,3.5320821072274,NA
