Year,iso3,Country,Refugees,Total_Fatalities,Civilian_Fatalities,Protest_Events,GDP_per_capita,Dist_km
2010,AUT,Austria,282,NA,NA,NA,46611.1393420232,1052.484
2011,AUT,Austria,308,NA,NA,NA,51116.8953522042,1052.484
2012,AUT,Austria,309,NA,NA,NA,48250.4059142637,1052.484
2013,AUT,Austria,311,NA,NA,NA,50305.3545774973,1052.484
2014,AUT,Austria,300,NA,NA,NA,51314.9722616322,1052.484
2015,AUT,Austria,287,NA,NA,NA,43915.228020857,1052.484
2016,AUT,Austria,301,NA,NA,NA,45061.4993920192,1052.484
2017,AUT,Austria,292,NA,NA,NA,47163.7425775142,1052.484
2018,AUT,Austria,282,883,62,1362,51194.0749841299,1052.484
2019,AUT,Austria,265,392,54,1461,49885.9947355204,1052.484
2020,AUT,Austria,251,121,20,1386,48716.4098900349,1052.484
2021,AUT,Austria,253,149,10,1175,53648.6437976214,1052.484
2022,AUT,Austria,89862,40081,5806,288,52336.7725223758,1052.484
2023,AUT,Austria,83748,39596,2004,132,56579.504175468,1052.484
2024,AUT,Austria,84987,69872,2184,324,58268.8787651601,1052.484
2025,AUT,Austria,84785,76864,2587,373,NA,1052.484
2010,BEL,Belgium,86,NA,NA,NA,44197.393671162,1837.307
2011,BEL,Belgium,84,NA,NA,NA,47760.8298776546,1837.307
2012,BEL,Belgium,85,NA,NA,NA,44874.1709182123,1837.307
2013,BEL,Belgium,33,NA,NA,NA,46964.5946777056,1837.307
2014,BEL,Belgium,33,NA,NA,NA,47995.7786961339,1837.307
2015,BEL,Belgium,122,NA,NA,NA,40893.804537772,1837.307
2016,BEL,Belgium,166,NA,NA,NA,41854.5498296444,1837.307
2017,BEL,Belgium,166,NA,NA,NA,44035.3239358548,1837.307
2018,BEL,Belgium,166,883,62,1362,47487.2100392561,1837.307
2019,BEL,Belgium,254,392,54,1461,46716.6227467964,1837.307
2020,BEL,Belgium,254,121,20,1386,45906.2875805246,1837.307
2021,BEL,Belgium,289,149,10,1175,51658.238294958,1837.307
2022,BEL,Belgium,61975,40081,5806,288,50605.7496677086,1837.307
2023,BEL,Belgium,75260,39596,2004,132,55291.4754541329,1837.307
2024,BEL,Belgium,85635,69872,2184,324,56614.5679499036,1837.307
2025,BEL,Belgium,89072,76864,2587,373,NA,1837.307
2010,BGR,Bulgaria,0,NA,NA,NA,6853.94805511171,1022.553
2014,BGR,Bulgaria,0,NA,NA,NA,8069.60005667684,1022.553
2015,BGR,Bulgaria,0,NA,NA,NA,7268.65445473873,1022.553
2016,BGR,Bulgaria,0,NA,NA,NA,7822.49923292968,1022.553
2017,BGR,Bulgaria,0,NA,NA,NA,8696.68930427924,1022.553
2018,BGR,Bulgaria,0,883,62,1362,9849.38397225174,1022.553
2019,BGR,Bulgaria,0,392,54,1461,10353.7204584127,1022.553
2020,BGR,Bulgaria,0,121,20,1386,10760.211975413,1022.553
2021,BGR,Bulgaria,0,149,10,1175,12966.1457543396,1022.553
2022,BGR,Bulgaria,149215,40081,5806,288,13999.1949530956,1022.553
2023,BGR,Bulgaria,68276,39596,2004,132,15853.208636704,1022.553
2024,BGR,Bulgaria,74322,69872,2184,324,17596.017366352102,1022.553
2025,BGR,Bulgaria,67875,76864,2587,373,NA,1022.553
2011,HRV,Croatia,0,NA,NA,NA,14691.558296292,1193.37
2012,HRV,Croatia,5,NA,NA,NA,13507.7805260991,1193.37
2013,HRV,Croatia,5,NA,NA,NA,14134.9474982889,1193.37
2014,HRV,Croatia,5,NA,NA,NA,14186.7295493276,1193.37
2015,HRV,Croatia,5,NA,NA,NA,12283.7840620053,1193.37
2016,HRV,Croatia,5,NA,NA,NA,12820.1653893008,1193.37
2017,HRV,Croatia,5,NA,NA,NA,13901.7878144679,1193.37
2018,HRV,Croatia,8,883,62,1362,15460.3669595491,1193.37
2019,HRV,Croatia,8,392,54,1461,15563.5987295029,1193.37
2020,HRV,Croatia,8,121,20,1386,14807.5608543265,1193.37
2021,HRV,Croatia,8,149,10,1175,17788.7865816658,1193.37
2022,HRV,Croatia,19416,40081,5806,288,18465.5414420364,1193.37
2023,HRV,Croatia,23733,39596,2004,132,22184.2279304842,1193.37
2024,HRV,Croatia,27256,69872,2184,324,24050.4397933135,1193.37
2025,HRV,Croatia,26873,76864,2587,373,NA,1193.37
2010,CYP,Cyprus,28,NA,NA,NA,31105.02734375,1714.705
2011,CYP,Cyprus,28,NA,NA,NA,32485.798828125,1714.705
2012,CYP,Cyprus,28,NA,NA,NA,28991.935546875,1714.705
2013,CYP,Cyprus,28,NA,NA,NA,27764.73046875,1714.705
2014,CYP,Cyprus,29,NA,NA,NA,26993.103515625,1714.705
