Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2010,Argentina,Ukraine,ARG,UKR,19,0,0,0,0,0,0
2010,Australia,Ukraine,AUS,UKR,42,10,0,0,0,0,0
2010,Austria,Ukraine,AUT,UKR,282,238,0,0,0,0,0
2010,Belgium,Ukraine,BEL,UKR,86,0,0,0,0,0,0
2010,Bulgaria,Ukraine,BGR,UKR,0,8,0,0,0,0,0
2010,Canada,Ukraine,CAN,UKR,1871,341,0,0,0,0,0
2010,"Costa Rica",Ukraine,CRI,UKR,18,0,0,0,0,0,0
2010,Cyprus,Ukraine,CYP,UKR,28,71,0,0,0,0,0
2010,Czechia,Ukraine,CZE,UKR,94,131,0,0,0,0,0
2010,Denmark,Ukraine,DNK,UKR,19,6,0,0,0,0,0
2010,Finland,Ukraine,FIN,UKR,15,5,0,0,0,0,0
2010,France,Ukraine,FRA,UKR,712,0,0,0,0,0,0
2010,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,284,0,0,0,0,0,0
2010,Germany,Ukraine,DEU,UKR,19398,94,0,0,0,0,0
2010,Greece,Ukraine,GRC,UKR,5,78,0,0,0,0,0
2010,Hungary,Ukraine,HUN,UKR,44,7,0,0,0,0,0
2010,Ireland,Ukraine,IRL,UKR,187,30,0,0,0,0,0
2010,Italy,Ukraine,ITA,UKR,71,6,0,0,0,0,0
2010,"Rep. of Moldova",Ukraine,MDA,UKR,0,11,0,0,0,0,0
2010,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,124,15,0,0,0,0,0
2010,Norway,Ukraine,NOR,UKR,70,0,0,0,0,0,0
2010,Poland,Ukraine,POL,UKR,20,16,0,0,0,0,0
2010,Romania,Ukraine,ROU,UKR,0,5,0,0,0,0,0
2010,"Russian Federation",Ukraine,RUS,UKR,15,6,0,0,0,0,0
2010,Spain,Ukraine,ESP,UKR,25,0,0,0,0,0,0
2010,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2010,Sweden,Ukraine,SWE,UKR,140,111,0,0,0,0,0
2010,Switzerland,Ukraine,CHE,UKR,29,12,0,0,0,0,0
